# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Sep 22 07:47:09 CEST 2022
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.1
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# Attention: photometry includes extinction of Av=0.001, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPbrmag  G_BPftmag  G_RPmag
0.02 0.14251 8.90000 1.2266408205 2.5104701519    1.226  0.302  3.7996  4.375    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.97e-14      0.00 7.106e-01 2.702e-01 3.402e-03 9.297e-04 8.449e-03 -1.000 1.920e-02 4.015 3.873 4.134 4.155 3.470
0.02 0.14251 8.90000 1.2500000000 2.5134611130    1.250  0.343  3.8040  4.360    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.25e-14      0.00 7.097e-01 2.710e-01 3.415e-03 9.332e-04 8.481e-03 -1.000 1.927e-02 3.913 3.772 4.024 4.044 3.379
0.02 0.14251 8.90000 1.2656807899 2.5153980255    1.265  0.370  3.8068  4.349    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.41e-14      0.00 7.098e-01 2.709e-01 3.414e-03 9.331e-04 8.481e-03 -1.000 1.928e-02 3.845 3.705 3.950 3.970 3.318
0.02 0.14251 8.90000 1.2999999523 2.5194499493    1.300  0.428  3.8127  4.326    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -5.79e-14      0.00 7.100e-01 2.707e-01 3.414e-03 9.330e-04 8.480e-03 -1.000 1.928e-02 3.699 3.560 3.794 3.812 3.188
0.02 0.14251 8.90000 1.3500000238 2.5249314308    1.350  0.510  3.8212  4.295    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.21e-14      0.00 7.103e-01 2.704e-01 3.411e-03 9.321e-04 8.472e-03 -1.000 1.928e-02 3.496 3.357 3.576 3.593 3.005
0.02 0.14251 8.90000 1.3999999762 2.5299651623    1.400  0.587  3.8294  4.267    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.45e-14      0.00 7.097e-01 2.711e-01 3.418e-03 9.341e-04 8.490e-03 -1.000 1.927e-02 3.303 3.166 3.370 3.386 2.833
0.02 0.14251 8.90000 1.4500000477 2.5346016884    1.450  0.661  3.8377  4.241    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.45e-14      0.00 7.098e-01 2.709e-01 3.414e-03 9.332e-04 8.482e-03 -1.000 1.924e-02 3.118 2.983 3.173 3.188 2.669
0.02 0.14251 8.90000 1.5000000000 2.5388846397    1.500  0.732  3.8464  4.220    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -6.12e-14      0.00 7.101e-01 2.707e-01 3.412e-03 9.324e-04 8.475e-03 -1.000 1.928e-02 2.941 2.808 2.983 2.997 2.516
0.02 0.14251 8.90000 1.5429078341 2.5423066616    1.543  0.791  3.8545  4.206    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -5.5e-14      0.00 7.103e-01 2.705e-01 3.410e-03 9.318e-04 8.470e-03 -1.000 1.920e-02 2.793 2.663 2.825 2.838 2.390
0.02 0.14251 8.90000 1.5499999523 2.5428512096    1.550  0.800  3.8558  4.203    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -5.4e-14      0.00 7.104e-01 2.704e-01 3.409e-03 9.317e-04 8.469e-03 -1.000 1.920e-02 2.769 2.640 2.799 2.813 2.369
0.02 0.14251 8.90000 1.5860178471 2.5455312729    1.586  0.848  3.8624  4.192    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -4.5e-14      0.00 7.105e-01 2.703e-01 3.408e-03 9.314e-04 8.466e-03 -1.000 1.926e-02 2.650 2.524 2.673 2.686 2.270
0.02 0.14251 8.90000 1.6000000238 2.5465342999    1.600  0.866  3.8649  4.187    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.19e-14      0.00 7.105e-01 2.702e-01 3.407e-03 9.313e-04 8.465e-03 -1.000 1.926e-02 2.605 2.480 2.625 2.638 2.232
0.02 0.14251 8.90000 1.6015062332 2.5466411114    1.601  0.868  3.8651  4.187    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.12e-14      0.00 7.105e-01 2.702e-01 3.407e-03 9.312e-04 8.465e-03 -1.000 1.926e-02 2.600 2.475 2.620 2.632 2.228
0.02 0.14251 8.90000 1.6499999762 2.5499615669    1.649  0.929  3.8732  4.171    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-14      0.00 7.107e-01 2.701e-01 3.406e-03 9.309e-04 8.461e-03 -1.000 1.923e-02 2.447 2.327 2.459 2.471 2.100
0.02 0.14251 8.90000 1.6612321138 2.5506989956    1.661  0.943  3.8750  4.167    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-14      0.00 7.107e-01 2.701e-01 3.406e-03 9.309e-04 8.461e-03 -1.000 1.922e-02 2.413 2.294 2.423 2.434 2.071
0.02 0.14251 8.90000 1.6749999523 2.5515873432    1.674  0.960  3.8770  4.162    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.31e-14      0.00 7.107e-01 2.700e-01 3.406e-03 9.309e-04 8.460e-03 -1.000 1.922e-02 2.370 2.252 2.378 2.390 2.035
0.02 0.14251 8.90000 1.6978369951 2.5530242920    1.697  0.988  3.8805  4.154    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.43e-29      0.00 7.108e-01 2.700e-01 3.406e-03 9.307e-04 8.459e-03 -1.000 1.923e-02 2.301 2.185 2.305 2.316 1.976
0.02 0.14251 8.90000 1.7000000477 2.5531582832    1.699  0.990  3.8808  4.153    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.108e-01 2.700e-01 3.406e-03 9.307e-04 8.459e-03 -1.000 1.922e-02 2.294 2.178 2.298 2.309 1.970
